lng,lat
-0.129282,51.516505
-0.127336,51.514766
-0.110172,51.522044
-0.113511,51.521468
-0.124485,51.517508
-0.162745,51.544551
-0.119632,51.516351
-0.141726,51.547188
-0.139212,51.534558
-0.127769,51.528801
-0.121404,51.518807
-0.124415,51.529736
-0.108935,51.520585
-0.109533,51.520055
-0.142438,51.536768
-0.141404,51.547992
-0.157956,51.545285
-0.134607,51.544916
-0.145855,51.527200
-0.126287,51.515738
-0.129845,51.523888
-0.147685,51.542516
-0.144490,51.546602
-0.138467,51.538683
-0.113219,51.521554
-0.180022,51.541673
-0.130594,51.547820
-0.150662,51.554433
-0.130298,51.516342
-0.121552,51.515213
-0.164924,51.547733
-0.127934,51.514236
-0.135446,51.527934
-0.121404,51.518807
-0.127068,51.545875
-0.145792,51.525220
-0.140566,51.540245
-0.135577,51.535310
-0.138737,51.528526
-0.129112,51.548786
-0.139241,51.533839
-0.191197,51.547151
-0.134808,51.550585
-0.119612,51.530829
-0.124629,51.517510
-0.117552,51.517846
-0.131149,51.527236
-0.139223,51.534289
-0.194944,51.539925
-0.145848,51.527379
-0.194592,51.556106
-0.140119,51.540598
-0.162560,51.549134
-0.143958,51.538410
-0.122641,51.530787
-0.115014,51.523471
-0.133421,51.545707
-0.166309,51.541999
-0.129830,51.527755
-0.182294,51.549801
-0.161140,51.552170
-0.130982,51.520759
-0.127096,51.517100
-0.124248,51.523259
-0.169176,51.553194
-0.178561,51.556578
-0.162785,51.543563
-0.193749,51.555554
-0.159465,51.547197
-0.135436,51.535218
-0.208700,51.553175
-0.150864,51.545893
-0.121080,51.516194
-0.114187,51.522558
-0.142451,51.540005
-0.118464,51.520199
-0.168204,51.537892
-0.139204,51.555960
-0.166754,51.556034
-0.170304,51.539454
-0.134912,51.537457
